Order,Family,Species,Scientific_Name,massM,SDmassM,massF,SDmassF,lengthM,SDlengthM,lengthF,SDlengthF,n_M,n_F,n_Mlength,n_Flength,Comments,Source
Afrosoricida,Tenrecidae,Naked-nosed shrew tenrec,Microgale gymnorhyncha,17.6,2.61,17.7,2.87,NA,NA,NA,NA,17,23,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Montane shrew tenrec,Microgale monticola,12.8,0.79,14,0.63,NA,NA,NA,NA,10,6,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Pygmy shrew tenrec,Microgale parvula,3.1,0.45,3.2,0.47,NA,NA,NA,NA,40,27,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Shrew-toothed shrew tenrec,Microgale soricoides,18,2.57,19.3,2.42,NA,NA,NA,NA,28,29,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Taiva shrew tenrec,Microgale taiva,11.7,1.25,12.3,2,NA,NA,NA,NA,39,32,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Talzac's shrew tenrec,Microgale talazaci,38.9,2.51,39.7,4.23,NA,NA,NA,NA,15,16,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Thomas's shrew tenrec,Microgale thomasi,21.7,2.46,22.1,3.51,NA,NA,NA,NA,34,19,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Mole-like rice tenrec,Oryzorictes hova ,37.2,6.56,33,4.88,NA,NA,NA,NA,27,6,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Greater hedgehog tenrec,Setifer setosus,223,57.62,218.8,52.17,NA,NA,NA,NA,52,46,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Afrosoricida,Tenrecidae,Tailless tenrec,Tenrec ecaudatus,1027.5,203.37,658.3,104.1,NA,NA,NA,NA,4,6,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Artiodactyla,Bovidae,Impala,Aepyceros melampus,44180,6860,40480,4500,93.4,4.3,100,3.74,10,9,10,9,,"Anderson, I. G. Mass and body measurements of impala Aepyceros melampus, from a game ranch. South African J. Wildl. Res. 12, 76–78 (1982)."
Artiodactyla,Bovidae,Impala,Aepyceros melampus,26300,14230.24947,42600,4409.081537,NA,NA,NA,NA,2,6,NA,NA,,"Van Zyl, L. & Ferreira, A. V. Physical and chemical carcass composition of springbok (Antidorcas marsupialis), blesbok (Damaliscus dorcas phillipsi) and impala (Aepyceros melampus). Small Rumin. Res. 53, 103–109 (2004)."
Artiodactyla,Bovidae,Red hartebeest,Alcelaphus buselaphus caama,140200,19010,118600,16740,NA,NA,NA,NA,13,16,NA,NA,,"Hoffman, L. C., Smit, K. & Muller, N. Chemical characteristics of red hartebeest (Alcelaphus buselaphus caama) meat. South African J. Anim. Sci. 40, 221–228 (2010)."
Artiodactyla,Bovidae,Springbok,Antidorcas marsupialis,32460,1150,27850,400,NA,NA,NA,NA,13,24,NA,NA,"Used the live weight of adult springbok harvested from Rustfontein Dam Nature Reserve, which yielded the highest sample sizes","Kroucamp, M. Meat quality characteristics of the springbok (Antidorcas marsupialis). (University of Stellenbosch, 2004)."
Artiodactyla,Bovidae,Springbok,Antidorcas marsupialis,33700,10285.9127,27100,4330.127019,NA,NA,NA,NA,5,3,NA,NA,,"Van Zyl, L. & Ferreira, A. V. Physical and chemical carcass composition of springbok (Antidorcas marsupialis), blesbok (Damaliscus dorcas phillipsi) and impala (Aepyceros melampus). Small Rumin. Res. 53, 103–109 (2004)."
Artiodactyla,Bovidae,Bison,Bison bison,629179,119760.6801,443930,93326.88144,NA,NA,NA,NA,29,23,NA,NA,"Only took values from non-inbred bison. Combined July weights from two sites (grid 1 and grid 2) to boost sample size using the equation in Baker and Nissim (1963, Nature) to calculate combined SE.","Berger, J. & Peacock, M. Variability in size-weight relationships of Bison bison. J. Mammal. 69, 618–624 (1988)."
Artiodactyla,Bovidae,Spanish ibex,Capra pyrenaica,50.39,11.94,31.27,5.2,NA,NA,NA,NA,73,123,NA,NA,,"Granados, J. E., Perez, J. M., Soriguer, R. C., Fandos, P. & Ruiz-Martinez, I. On the biometry of the Spanish ibex, Capra pyrenaica, from Sierra Nevada (southern Spain). Folia Zool. 46, 9–14 (1997)."
Artiodactyla,Bovidae,Japanese serow,Capricornis crispus,35890,4460,38430,4970,NA,NA,NA,NA,292,279,NA,NA,Used measures from the oldest age class (>=3.5 yrs) to ensure all were sexually mature.,"Miura, S. Body and horn growth patterns in the Japanese serow, Capricornis crispus. J. Mammal. Soc. Japan 11, 1–13 (1986)."
Artiodactyla,Bovidae,Blesbok,Damaliscus pygargus phillipsi,50400,1000,56200,19800,NA,NA,NA,NA,4,4,NA,NA,,"Van Zyl, L. & Ferreira, A. V. Physical and chemical carcass composition of springbok (Antidorcas marsupialis), blesbok (Damaliscus dorcas phillipsi) and impala (Aepyceros melampus). Small Rumin. Res. 53, 103–109 (2004)."
Artiodactyla,Bovidae,Blesbok,Damaliscus pygargus phillipsi,72615,7136,68545,4741,NA,NA,NA,NA,13,11,NA,NA,"Adult blesbok weights at capture in Groenkloof Nature Reserve, calculated from raw data in Table 1.","Fitte, A. Determination of the pathophysiological consequences of capture and capture-induced hyperthermia in blesbok (Damaliscus pygargus phillipsi). (University of Pretoria, 2016)."
Artiodactyla,Bovidae,Dorcas gazelle,Gazella dorcas,18500,4242.640687,14100,2800,NA,NA,NA,NA,8,16,NA,NA,Converted SE to SD using SE=SD/sqrt(N),"Wronski, T., Sandouka, M. A., Plath, M. & Cunningham, P. Differences in sexual dimorphism among four gazelle taxa (Gazella spp.) in the Middle East. Anim. Biol. 60, 395–412 (2010)."
Artiodactyla,Bovidae,Mountain gazelle,Gazella gazella,21300,4371.498599,17200,3878.143886,NA,NA,NA,NA,39,94,NA,NA,Converted SE to SD using SE=SD/sqrt(N),"Wronski, T., Sandouka, M. A., Plath, M. & Cunningham, P. Differences in sexual dimorphism among four gazelle taxa (Gazella spp.) in the Middle East. Anim. Biol. 60, 395–412 (2010)."
Artiodactyla,Bovidae,Red-fronted gazelle,Gazella rufrons kanuri,30700,2400,28100,1500,89.2,6.8,92.3,4.9,59,36,59,36,Converted mass to g from kg by multiplying by 1000.,"Nchanji, A. C. & Amubode, F. O. The physical and morphological characteristics of the red-fronted gazelle (Gazella rufifrons kanuri Gray 1846) in Waza National Park, Cameroon. J. Zool. 256, 505–509 (2002)."
Artiodactyla,Bovidae,Sand gazelle,Gazella subgutturosa marica,19600,4898.979486,17400,3026.54919,NA,NA,NA,NA,150,229,NA,NA,Converted SE to SD using SE=SD/sqrt(N),"Wronski, T., Sandouka, M. A., Plath, M. & Cunningham, P. Differences in sexual dimorphism among four gazelle taxa (Gazella spp.) in the Middle East. Anim. Biol. 60, 395–412 (2010)."
Artiodactyla,Bovidae,Soay sheep,Ovis aries,43800,2523.885893,26500,2415.719355,NA,NA,NA,NA,13,13,NA,NA,,"Pérez-Barbería, F. J., Pérez-Fernández, E., Robertson, E. & Alvarez-Enríquez, B. Does the Jarman-Bell principle at intra-specific level explain sexual segregation in polygynous ungulates? Sex differences in forage digestibility in Soay sheep. Oecologia 157, 21–30 (2008)."
Artiodactyla,Bovidae,Bighorn sheep,Ovis canadensis,76800,7800,51100,5200,NA,NA,NA,NA,45,44,NA,NA,Used values for 5-yr olds (collected in June).,"Festa-Bianchet, M., Jorgenson, J. T., King, W. J., Smith, K. G. & Wishart, W. D. The development of sexual dimorphism: Seasonal and lifetime mass changes in bighorn sheep. Can. J. Zool. 74, 330–342 (1996)."
Artiodactyla,Bovidae,Mediterranean mouflon,Ovis gmelini,34100,5500,22700,5100,NA,NA,NA,NA,175,626,NA,NA,"Took values for females >= 1 year old and males >=4 yrs old, according to the oldest groups presented in the paper.","Bourgoin, G., Marchand, P., Hewison, A. J. M., Ruckstuhl, K. E. & Garel, M. Social behaviour as a predominant driver of sexual, age-dependent and reproductive segregation in Mediterranean mouflon. Anim. Behav. 136, 87–100 (2018)."
Artiodactyla,Bovidae,Alpine chamois,Rupicapra rupicapra,27300,4600,19800,3600,NA,NA,NA,NA,48,37,NA,NA,"Took body masses at age of maturity for each sex (3.5 yrs for females and 5.5 yrs for males, according to the source).","Bassano, B., Perrone, A. & Von Hardenberg, A. Body weight and horn development in Alpine chamois, Rupicapra rupicapra (Bovidae, Caprinae). Mammalia 67, 65–73 (2003)."
Artiodactyla,Bovidae,Greater kudu,Tragelaphus strepsiceros,238800,29900,166300,17400,NA,NA,NA,NA,49,12,NA,NA,,"Fuentes, N. Ecology of South African large herbivores in a managed arid savanna: body mass, local distribution, and parasites. (Durham University, 2021)."
Artiodactyla,Cervidae,Moose,Alces alces andersoni,430600,69200,397700,64900,NA,NA,NA,NA,107,43,NA,NA,Took body masses of individuals aged >=1.5yrs (adults),"Jensen, W. F., Smith, J. R., McKenzie, J. V, Maskey Jr., J. J. & Johnson, R. E. Mass, morphology, and growth rates of moose in North Dakota. Alces 49, 1–15 (2013)."
Artiodactyla,Cervidae,Roe deer,Capreolus capreolus,23300,4100,20200,3700,NA,NA,NA,NA,101,112,NA,NA,,"Ritz, J. et al. Forestomach pH in hunted roe deer (Capreolus capreolus) in relation to forestomach region, time of measurement and supplemental feeding and comparison among wild ruminant species. Eur. J. Wildl. Res. 59, 505–517 (2013)."
Artiodactyla,Cervidae,Reeves' muntjac,Muntiacus reevesi,13200,1697.056275,8900,848.5281374,NA,NA,NA,NA,72,18,NA,NA,Took body mass of young adults that had just reached their sexul maturity (according to the data available) - 24-48 weeks for females and 71 weeks for males.,"Chapman, N. G., Furlong, M. & Harris, S. Reproductive strategies and the influence of date of birth on growth and sexual development of an aseasonally-breeding ungulate: Reeves’ muntjac (Muntiacus reevesi). J. Zool. 241, 551–570 (1997)."
Artiodactyla,Cervidae,White-tailed deer,Odocoileus virginianus ,70280,14408.71611,52060,6003.732173,159.45,11.1225177,149.19,8.067515107,71,88,71,88,Took body masses and body lengths of individuals aged >=2.5 yrs. Calculated SDs from the SEs reported.,"Lesage, L., Crête, M., Huot, J. & Ouellet, J. P. Evidence for a trade-off between growth and body reserves in northern white-tailed deer. Oecologia 126, 30–41 (2001)."
Artiodactyla,Cervidae,Pampas deer,Ozotoceros bezoarticus,15000,3400,14500,2400,NA,NA,NA,NA,5,9,NA,NA,,"Perez, W. & Ungerfeld, R. Gross anatomy of the stomach of the pampas deer, Ozotoceros bezoarticus (Artiodactyla: Cervidae). Zoologia 29, 337–342 (2012)."
Artiodactyla,Cervidae,Reindeer,Rangifer tarandus,105400,36230,86260,9400,NA,NA,NA,NA,10,31,NA,NA,Used body masses before the rutting season for both sexes (both lost a bit of weight during the rutting season).,"Pintus, E. et al. Flexible mating tactics and associated reproductive effort during the rutting season in male reindeer (Rangifer tarandus, L. 1758). Curr. Zool. 61, 802–810 (2015)."
Artiodactyla,Delphinidae,Risso's dolphin,Grampus griseus,470000,31225,290333,5508,NA,NA,NA,NA,3,3,NA,NA,Calculated from the raw data (had to exclude a lot of rows because immature individuals or lactating females were there).,"Bloch, D., Desportes, G., Harvey, P., Lockyer, C. & Mikkelsen, B. Life history of Risso’s dolphin (Grampus griseus) (G. Cuvier, 1812) in the Faroe Islands. Aquat. Mamm. 38, 250–266 (2012)."
Artiodactyla,Delphinidae,Striped dolphin,Stenella coeruleoalba,53600,27000,60500,14200,181.3,24.6,176,33.6,15,10,47,34,"From freshly beached individuals in Italy, aged 7.7 years +/- 4.5 for the males and 6.9 years +/-6.1 for the females.","Monaci, F., Borrel, A., Leonzio, C., Marsili, L. & Calzada, N. Trace elements in striped dolphins (Stenella coeruleoalba) from the western Mediterranean. Environ. Pollut. 99, 61–68 (1998)."
Artiodactyla,Delphinidae,Bottle nose dolphin,Tursiops truncatus,217000,70798,145833,35467,NA,NA,NA,NA,14,18,NA,NA,Calculated from the raw data in Table 1.,"Fahlman, A. et al. Field energetics and lung function in wild bottlenose dolphins, Tursiops truncatus, in Sarasota Bay Florida. R. Soc. Open Sci. 5, (2018)."
Artiodactyla,Phocoenidae,Harbour porpoise,Phocoena phocoena,49000,5200,62000,7000,NA,NA,NA,NA,62,62,NA,NA,,"Read, A. J. & Tolley, K. A. Postnatal growth and allometry of harbour porpoises from the Bay of Fundy. Can. J. Zool. 75, 122–130 (1997)."
Artiodactyla,Phocoenidae,Burmeister's porpoise,Phocoena spinipinnis,166780,5019.4,63818,6764.9,NA,NA,NA,NA,9,11,NA,NA,Calculated from the raw data.,"Reyes, J. C. & Van Waerebeek, K. Aspects of the biology of Burmeister’s porpoise from Peru. Report from the International Whaling Commission (1995)."
Artiodactyla,Pontoporiidae,Franciscana dolphin,Pontoporia blainvillei,22455,5817,23701,7232,120.354,14.058,123.578,17.152,129,93,130,96,,"Botta, S., Muelbert, M. M. C. & Secchi, E. R. Morphometric relationships of franciscana dolphin, Pontoporia blainvillei (Cetacea), off Rio Grande do Sul coast, southern Brazil. Lat. Am. J. Aquat. Mamm. 5, 117–123 (2006)."
Artiodactyla,Suidae,Warthog,Phacochoerus athiopicus,68000,17600,51300,9100,NA,NA,NA,NA,13,16,NA,NA,,"Booyse, D. G. & Dehority, B. A. Gastrointestinal protozoa and digestive tract parameters of wild South African warthogs (Phacochoerus aethiopicus). African Zool. 47, 373 (2012)."
Artiodactyla,Suidae,Wild boar,Sus scrofa,65300,13914.0217,50600,14820.25641,NA,NA,NA,NA,40,76,NA,NA,Converted SE to SD using SE=SD/sqrt(N),"Focardi, S., Gaillard, J. M., Ronchi, F. & Rossi, S. Survival of wild boars in a variable environment: Unexpected life-history variation in an unusual ungulate. J. Mammal. 89, 1113–1123 (2008)."
Artiodactyla,Tayassuidae,Collared peccary,Pecari tajacu,16076.92308,3790.592268,17956.25,3515.293966,NA,NA,NA,NA,13,16,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Artiodactyla,Tayassuidae,White-lipped peccary,Tayassu pecari,33727.27273,3983.488649,33479.48718,4481.903936,NA,NA,NA,NA,11,39,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Artiodactyla,Ziphiidae,Baird's beaked whale,Berardius bairdii,11437600.01,362.488636,12703343.53,249.40556,1010,35,1045,31,66,22,66,22,"Estimated weights from body lengths of individuals 15 yrs old or older, using a formula for estimating weight from body length reported in the same pub: W=(6.339 x 10^-6)L^3.081 (weight in kg and later converted to g, length in cm)","Kasuya, T. Giant beaked whales Berardius bairdii and B. arnuxii. in Encyclopedia of Marine Mammals (eds. Wursig, B., Perrin, W. F. & Thewissen, J. G. M. H.) 498–500 (Elsevier Science and Technology, 2008)."
Carnivora,Canidae,Crab-eating fox,Cerdocyon thous,4630.797368,2697.156248,3874.992222,2874.673893,NA,NA,NA,NA,38,45,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Canidae,Maned wolf,Chrysocyon brachyurus,26680,3590,24630,3220,NA,NA,NA,NA,44,29,NA,NA,,"Jacómo, A. T. de A. et al. Home range and spatial organization of maned wolves in the Brazilian grasslands. J. Mammal. 90, 150–157 (2009)."
Carnivora,Eupleridae,Fossa,Cryptoprocta ferox,7400,1200,6100,600,NA,NA,NA,NA,17,11,NA,NA,,"Hawkins, C. E. & Racey, P. A. Low population density of a tropical forest carnivore, Cryptoprocta ferox: Implications for protected area management. Oryx 39, 35–43 (2005)."
Carnivora,Eupleridae,Fossa,Cryptoprocta ferox,8233.3,1783,7243.8,855,NA,NA,NA,NA,18,8,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Carnivora,Eupleridae,Ring-tailed vontsira,Galidia elegans,820.4,108.16,642.5,102.53,NA,NA,NA,NA,10,2,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Carnivora,Eupleridae,Grandidier's mongoose,Galidictis grandidieri,1650,213.2,1400,118.4,NA,NA,NA,NA,20,10,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Carnivora,Eupleridae,Narrow-striped mongoose,Mungotictis decemlineata,560.7,35.37,538.7,52.04,NA,NA,NA,NA,22,19,NA,NA,,"Kappeler, P. M., Nunn, C. L., Vining, A. Q. & Goodman, S. M. Evolutionary dynamics of sexual size dimorphism in non-volant mammals following their independent colonization of Madagascar. Sci. Rep. 9, 1–14 (2019)."
Carnivora,Felidae,Southern tiger cat,Leopardus guttulus,2650,264.5751311,2181.666667,451.903382,NA,NA,NA,NA,4,6,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Felidae,Ocelot,Leopardus pardalis,13726.53846,1669.926875,10466.92308,1132.058484,NA,NA,NA,NA,13,13,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Felidae,Margay,Leopardus wiedii,2690.871429,2114.292462,2158.8,1118.034275,NA,NA,NA,NA,7,6,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Felidae,Lion,Panthera leo,199000,10000,143000,11000,NA,NA,NA,NA,4,6,NA,NA,,"Valeix, M., Loveridge, A. J. & Macdonald, D. W. Influence of prey dispersion on territory and group size of African lions: A test of the resource dispersion hypothesis. Ecology 93, 2490–2496 (2012)."
Carnivora,Felidae,Jaguar,Panthera onca,80208.33333,14459.12473,58000,13638.1817,NA,NA,NA,NA,12,12,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Felidae,Cougar,Puma concolor,45777.27273,7713.990495,30466.66667,3253.715825,NA,NA,NA,NA,22,6,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Felidae,Jaguarundi,Puma yagouaroundi,4058.576923,2449.770566,3398.185714,4042.884973,NA,NA,NA,NA,13,7,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Carnivora,Herpestidae,Marsh mongoose,Atilax paludinosus,3263,242,3218,288,NA,NA,NA,NA,6,4,NA,NA,,"Streicher, J. P. Aspects of the ecology of three mongoose species along a rural-urban landscape gradient of KwaZulu-Natal, South Africa. (University of KwaZulu-Natal, 2020)."
Carnivora,Herpestidae,Yellow mongoose,Cynictis penicillata,861,179,743,142,NA,NA,NA,NA,7,5,NA,NA,,"Mbatyoti, O. A. Spatiotemporal ecology of the yellow mongoose Cynictis penicillata in the Great Fish River Reserve (Eastern Cape, South Africa). (University of Fort Hare, 2012)."
Carnivora,Herpestidae,Egyptian mongoose,Herpestes ichneumon,3142.2,376.2,2823.3,177.4,52.67,2.5,52.97,1.98,9,12,NA,NA,,"Palomares, F. & Delibes, M. Some physical and population characteristics of Egyptian mongooses (Herpestes ichneumon L., 1758) in southwestern Spain. Z. Saugetierkunde 57, 94–99 (1992)."
Carnivora,Herpestidae,Indian mongoose,Herpestes javanicus,862,130.3,556,70.3,33.5,1.68,29.8,1.65,72,56,68,58,,"Hays, W. S. T. & Simberloff, D. A morphometric trend linked to male sociality in the small Indian mongoose Herpestes javanicus in Hawaii. Acta Theriol. (Warsz). 51, 303–310 (2006)."
Carnivora,Mephitidae,Molina's hog-nosed skunk,Conepatus chinga,1490,280,1380,160,NA,NA,NA,NA,7,11,NA,NA,,"Castillo, D. F., Lucherini, M., Vidal, E. M. L., Manfredi, C. & Casanave, E. B. Spatial organization of Molina’s hog-nosed skunk (Conepatus chinga) in two landscapes of the Pampas grassland of Argentina. Can. J. Zool. 89, 229–238 (2011)."
Carnivora,Mephitidae,Eastern spotted skunk,Spilogale putorius,398.8,80.7,282.5,39.4,NA,NA,NA,NA,94,38,NA,NA,,"Kinlaw, A. E., Ehrhart, L. M. & Doerr, P. D. Spotted skunks (Spilogale putorius ambarvalis) trapped at Canaveral National Seashore and Merrit Island, Florida. Florida F. Nat. 23, 57–86 (1995)."
